                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.79252,                0.58099,                 1.0238,                0.98302,                0.98319,                0.98597,                0.82157,                0.69132,                0.52767,                 0.9696,             0.00054478,             0.00054478,             0.00054478
                     36,                0.79092,                0.56325,                 1.0098,                0.98563,                0.98267,                0.98475,                 0.8313,                0.66899,                0.50166,                0.96116,             0.00051177,             0.00051177,             0.00051177
                     37,                0.78579,                  0.577,                 1.0198,                0.98561,                0.98084,                0.98533,                0.83154,                0.66871,                 0.5138,                0.96542,             0.00047876,             0.00047876,             0.00047876
                     38,                0.79235,                  0.578,                 1.0151,                 0.9839,                0.98281,                0.98591,                 0.8319,                0.66661,                0.50764,                0.95977,             0.00044576,             0.00044576,             0.00044576
                     39,                0.76465,                0.56979,                0.99889,                0.98359,                 0.9854,                0.98695,                0.83726,                0.64896,                0.49024,                0.95259,             0.00041275,             0.00041275,             0.00041275
                     40,                 0.7671,                0.55878,                 1.0065,                0.98419,                0.98773,                0.98764,                0.83448,                 0.6599,                0.48229,                0.96063,             0.00037974,             0.00037974,             0.00037974
                     41,                 0.7128,                0.60698,                0.97882,                0.98643,                0.98966,                0.98803,                0.82609,                0.67935,                0.49884,                0.96407,             0.00034674,             0.00034674,             0.00034674
                     42,                0.68998,                   0.56,                0.95971,                0.98649,                 0.9889,                0.98824,                0.83285,                0.66473,                0.54584,                0.95617,             0.00031373,             0.00031373,             0.00031373
                     43,                0.70764,                0.55499,                0.97884,                0.98689,                0.98819,                0.98775,                0.84551,                0.63644,                0.51983,                0.94934,             0.00028072,             0.00028072,             0.00028072
                     44,                0.66805,                0.52441,                0.96274,                0.98643,                0.98793,                0.98666,                0.83877,                0.64147,                0.47839,                0.95124,             0.00024772,             0.00024772,             0.00024772
                     45,                0.65694,                0.51466,                0.96571,                0.98767,                0.98644,                 0.9864,                0.84246,                0.62626,                 0.4745,                0.94656,             0.00021471,             0.00021471,             0.00021471
                     46,                 0.6384,                0.50112,                0.96275,                0.98749,                0.98542,                0.98668,                0.84423,                0.62154,                0.47186,                0.94343,              0.0001817,              0.0001817,              0.0001817
                     47,                 0.6422,                 0.5045,                0.93707,                0.98837,                0.98534,                0.98717,                0.84984,                0.61248,                0.46861,                0.93895,              0.0001487,              0.0001487,              0.0001487
                     48,                0.62281,                0.49289,                0.94903,                0.98909,                0.98568,                0.98787,                0.85662,                0.59902,                0.45451,                0.93766,             0.00011569,             0.00011569,             0.00011569
                     49,                 0.6163,                0.48951,                 0.9301,                0.98863,                0.98707,                0.98816,                0.85777,                0.59565,                0.44884,                0.93709,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.61818,                0.48952,                0.95199,                0.98864,                0.98707,                0.98826,                0.85894,                0.59256,                0.44619,                 0.9349,             4.9677e-05,             4.9677e-05,             4.9677e-05
